look_id,룩이름,슬롯_가이드,품목,상품명,구매링크URL,이미지URL,가격원,플랫폼
L01,봄 데이트 파스텔 미니멀,상의/아우터 — 아이보리 니트 가디건,,,,,,
L01,봄 데이트 파스텔 미니멀,하의 — 라이트블루 세미와이드 스커트,,,,,,
L01,봄 데이트 파스텔 미니멀,상의 — 아이보리 블라우스,,,,,,
L01,봄 데이트 파스텔 미니멀,(선택) 관련 — 미니멀 플랫/슈즈,,,,,,
L02,뉴트럴 톤 미니멀 출근,아우터 — 아이보리 테일러드 블레이저,,,,,,
L02,뉴트럴 톤 미니멀 출근,하의 — 네이비 와이드 슬랙스,,,,,,
L02,뉴트럴 톤 미니멀 출근,상의 — 화이트 코튼 셔츠,,,,,,
L03,네이비 셋업 단정 오피스,아우터 — 네이비 블레이저,,,,,,
L03,네이비 셋업 단정 오피스,하의 — 네이비 슬랙스,,,,,,
L03,네이비 셋업 단정 오피스,상의 — 아이보리 니트,,,,,,
L04,주말 스포티 캐주얼,상의 — 오버핏 후드/맨투맨,,,,,,
L04,주말 스포티 캐주얼,하의 — 트랙/조거 팬츠,,,,,,
L04,주말 스포티 캐주얼,아우터 — 바람막이,,,,,,
L04,주말 스포티 캐주얼,(선택) 관련 — 스니커즈,,,,,,
L05,애슬레저 데일리,상의 — 크롭 슬리브리스/탑,,,,,,
L05,애슬레저 데일리,하의 — 레깅스/조거,,,,,,
L05,애슬레저 데일리,아우터 — 라이트 집업,,,,,,
L06,하객룩 단정 미디 드레스,메인 — 네이비 미디 원피스,,,,,,
L06,하객룩 단정 미디 드레스,아우터 — 아이보리 숄/볼레로,,,,,,
L06,하객룩 단정 미디 드레스,(선택) 관련 — 미니멀 힐,,,,,,
L07,하객룩 아이보리 클래식,메인 — 아이보리 미디 원피스,,,,,,
L07,하객룩 아이보리 클래식,아우터 — 트위드 자켓,,,,,,
L07,하객룩 아이보리 클래식,(선택) 관련 — 클러치,,,,,,
L08,장마철 방수 레이어드,아우터 — 네이비 방수 바람막이,,,,,,
L08,장마철 방수 레이어드,상의 — 화이트 티셔츠,,,,,,
L08,장마철 방수 레이어드,하의 — 세미와이드 슬랙스,,,,,,
L09,러블리 데이트 원피스,메인 — 아이보리 플레어 미디 원피스,,,,,,
L09,러블리 데이트 원피스,아우터 — 가디건,,,,,,
L09,러블리 데이트 원피스,(선택) 관련 — 메리제인 슈즈,,,,,,
L10,여행룩 편한 미니멀,상의 — 오버핏 셔츠,,,,,,
L10,여행룩 편한 미니멀,하의 — 와이드 데님,,,,,,
L10,여행룩 편한 미니멀,아우터 — 라이트 자켓,,,,,,
L11,여행 리조트 라이트,메인 — 라이트블루 롱 원피스,,,,,,
L11,여행 리조트 라이트,레이어 — 아이보리 린넨 셔츠,,,,,,
L11,여행 리조트 라이트,(선택) 관련 — 샌들,,,,,,
L12,올드머니 가을 셋업,상의 — 아이보리 케이블 니트,,,,,,
L12,올드머니 가을 셋업,하의 — 아이보리/베이지 와이드 슬랙스,,,,,,
L12,올드머니 가을 셋업,아우터 — 트렌치 코트,,,,,,
L13,발레코어 러블리,상의 — 발레 랩탑/리본 탑,,,,,,
L13,발레코어 러블리,하의 — 튤/플레어 스커트,,,,,,
L13,발레코어 러블리,아우터 — 슬림 가디건,,,,,,
L14,미니멀 데일리 슬림,상의 — 네이비 슬림 니트,,,,,,
L14,미니멀 데일리 슬림,하의 — 슬림 슬랙스,,,,,,
L14,미니멀 데일리 슬림,아우터 — 코트,,,,,,
L15,하이웨이스트 데님 캐주얼,하의 — 라이트블루 하이웨이스트 데님,,,,,,
L15,하이웨이스트 데님 캐주얼,상의 — 아이보리 니트,,,,,,
L15,하이웨이스트 데님 캐주얼,아우터 — 데님/트러커 자켓,,,,,,
